2016-05-21 18:34:50 - NOTICE - default
2016-05-21 18:34:50 - NOTICE - /usr/local/ampps/www/maquina/www/wp-content/themes/rhythm/sample-data/default/
2016-05-21 18:34:50 - NOTICE - Your script maximum execution time is set to 30 seconds. It may be not enough for import to succeed. Suggested value is 500 seconds.
2016-05-21 18:34:50 - MESSAGE - Import initialized!
2016-05-21 18:34:50 - MESSAGE - data.xml import started
2016-05-21 18:34:50 - MESSAGE - Import in progress...
2016-05-21 18:34:58 - MESSAGE - Import in progress...
2016-05-21 18:35:06 - MESSAGE - Import in progress...
2016-05-21 18:35:13 - MESSAGE - Import in progress...
2016-05-21 18:35:22 - MESSAGE - Import in progress...
2016-05-21 18:35:30 - MESSAGE - Import in progress...
2016-05-21 18:35:37 - MESSAGE - Import in progress...
2016-05-21 18:35:45 - MESSAGE - Import in progress...
2016-05-21 18:35:53 - MESSAGE - Import in progress...
2016-05-21 18:36:00 - MESSAGE - Import in progress...
2016-05-21 18:36:08 - MESSAGE - Import in progress...
2016-05-21 18:36:16 - MESSAGE - Import in progress...
2016-05-21 18:36:24 - MESSAGE - Import in progress...
2016-05-21 18:36:31 - MESSAGE - Import in progress...
2016-05-21 18:36:39 - MESSAGE - Import in progress...
2016-05-21 18:36:46 - MESSAGE - Import in progress...
2016-05-21 18:36:54 - MESSAGE - Import in progress...
2016-05-21 18:37:03 - MESSAGE - Import in progress...
2016-05-21 18:37:11 - MESSAGE - Import in progress...
2016-05-21 18:37:20 - MESSAGE - Import in progress...
2016-05-21 18:37:29 - MESSAGE - Import in progress...
2016-05-21 18:37:37 - MESSAGE - Import in progress...
2016-05-21 18:38:06 - MESSAGE - data.xml import completed
2016-05-21 18:38:06 - MESSAGE - menu location set.
2016-05-21 18:38:19 - MESSAGE - saving redux settings.
2016-05-21 18:38:19 - MESSAGE - redux settings saved.
2016-05-21 18:38:19 - MESSAGE - widgets import started.
2016-05-21 18:38:20 - MESSAGE - widgets import completed.
2016-05-21 18:38:20 - MESSAGE - Setting home page
2016-05-21 18:38:21 - MESSAGE - Home page set
2016-05-21 18:38:37 - MESSAGE - Import in progress...
2016-05-21 18:38:46 - MESSAGE - Import in progress...
2016-05-21 18:38:54 - MESSAGE - Import in progress...
2016-05-21 18:39:01 - MESSAGE - Import in progress...
2016-05-21 18:39:09 - MESSAGE - Import in progress...
2016-05-21 18:39:17 - MESSAGE - Import in progress...
2016-05-21 18:39:26 - MESSAGE - Import in progress...
2016-05-21 18:39:33 - MESSAGE - Import in progress...
2016-05-21 18:39:47 - MESSAGE - Import in progress...
2016-05-21 18:39:56 - MESSAGE - Import in progress...
2016-05-21 18:40:03 - MESSAGE - Import in progress...
2016-05-21 18:40:11 - MESSAGE - Import in progress...
2016-05-21 18:40:20 - MESSAGE - Import in progress...
2016-05-21 18:40:27 - MESSAGE - Import in progress...
2016-05-21 18:40:36 - MESSAGE - Import in progress...
2016-05-21 18:40:43 - MESSAGE - Import in progress...
2016-05-21 18:40:52 - MESSAGE - Import in progress...
2016-05-21 18:41:00 - MESSAGE - Import in progress...
2016-05-21 18:41:08 - MESSAGE - Import in progress...
2016-05-21 18:41:15 - MESSAGE - Import in progress...
2016-05-21 18:41:24 - MESSAGE - Import in progress...
2016-05-21 18:41:32 - MESSAGE - Import in progress...
2016-05-21 18:41:41 - MESSAGE - Import in progress...
2016-05-21 18:41:48 - MESSAGE - Import in progress...
2016-05-21 18:41:57 - MESSAGE - Import in progress...
2016-05-21 18:42:05 - MESSAGE - Import in progress...
2016-05-21 18:42:13 - MESSAGE - Import in progress...
2016-05-21 18:42:20 - MESSAGE - Import in progress...
